WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,class
70419,87.2,88.15,17.72,62.03,70419.0,27.45,76.13,37.35,8.14,4.55,0.17,1.52,1.77,0.19,0.9,3.59,4.97,12.38,6.43,3.49,3.57,0.75,11.83,4.83,1.35,1.61,1.53,1.73,8.1,4.93,3.02,1.26,0.23,0.83,11.29,0.94,0.18,0.26,0.13,9.57,2.84,2.21,0.89,1.72,1.18,1.82,2.02,0.9,0.48,0.4,3.78,0.5,2.75,0.03,0.4,12.51,4.75,1.86,4.97,1.6,0.9,0.18,12.72,0.59,11.69,1.77,5.54,4.48,3.96,1.5,0.58,0.33,0.16,0.27,0.67,0.0,0.45,0.07,0.15,0.0,CONTROL
65985,60.98,37.55,61.87,36.11,65985.0,11.95,83.29,50.46,15.31,10.9,7.39,0.63,1.25,1.26,0.36,4.41,6.1,13.28,7.83,5.31,6.26,1.71,17.24,3.25,1.11,1.12,2.12,1.82,5.17,2.85,2.26,0.27,0.93,0.39,7.59,0.52,0.35,0.93,1.24,9.2,1.37,1.51,1.19,2.19,1.16,2.76,2.05,0.71,0.57,0.53,3.09,0.87,0.63,0.2,1.25,6.48,1.81,1.15,1.68,1.88,0.31,0.46,15.59,1.13,13.74,2.06,5.51,6.25,4.32,1.82,0.76,0.58,0.22,0.17,1.96,0.76,0.48,0.33,0.4,0.05,ADHD
